Sensor 1 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+6.30175781 -4.77246094 +0.99755859 +177.67089844 -11.11816406 -4.08691406 +1489583519.48309990 +732
+6.30175781 -4.76806641 +0.99755859 +177.64892578 -11.11816406 -4.08691406 +1489583519.48799990 +732
+6.30175781 -4.76367188 +1.00195313 +177.64892578 -11.11816406 -4.08691406 +1489583519.49289990 +732
+6.30175781 -4.76367188 +1.00634766 +177.64892578 -11.11816406 -4.08691406 +1489583519.49770000 +732
+6.30175781 -4.75927734 +1.01074219 +177.62695313 -11.11816406 -4.08691406 +1489583519.50260000 +732
+6.30175781 -4.75927734 +1.01513672 +177.62695313 -11.09619141 -4.08691406 +1489583519.50749990 +728
+6.30175781 -4.75488281 +1.01953125 +177.62695313 -11.09619141 -4.08691406 +1489583519.51230000 +728
+6.30175781 -4.75048828 +1.02392578 +177.62695313 -11.09619141 -4.06494141 +1489583519.51720000 +728
+6.30175781 -4.75048828 +1.02832031 +177.60498047 -11.09619141 -4.06494141 +1489583519.52200010 +728
+6.30175781 -4.74609375 +1.03271484 +177.60498047 -11.07421875 -4.06494141 +1489583519.52690010 +728
+6.30175781 -4.74169922 +1.03710938 +177.58300781 -11.07421875 -4.06494141 +1489583519.53180000 +728
+6.30175781 -4.74169922 +1.04150391 +177.58300781 -11.07421875 -4.04296875 +1489583519.53660010 +728
+6.30175781 -4.73730469 +1.04150391 +177.58300781 -11.07421875 -4.04296875 +1489583519.54150010 +728
+6.30175781 -4.73730469 +1.04589844 +177.58300781 -11.05224609 -4.04296875 +1489583519.54640010 +728
+6.30175781 -4.73291016 +1.05029297 +177.56103516 -11.05224609 -4.02099609 +1489583519.55119990 +728
+6.30175781 -4.72851563 +1.05468750 +177.56103516 -11.05224609 -4.02099609 +1489583519.55609990 +728
+6.30175781 -4.72851563 +1.05908203 +177.56103516 -11.05224609 -4.02099609 +1489583519.56100010 +728
+6.30175781 -4.72412109 +1.06347656 +177.53906250 -11.05224609 -3.99902344 +1489583519.56580000 +724
+6.30175781 -4.72412109 +1.06347656 +177.53906250 -11.03027344 -3.99902344 +1489583519.57069990 +724
+6.30175781 -4.71972656 +1.06787109 +177.53906250 -11.03027344 -3.97705078 +1489583519.57559990 +724
+6.30615234 -4.71533203 +1.07226563 +177.51708984 -11.03027344 -3.97705078 +1489583519.58040000 +724
+6.30615234 -4.71533203 +1.07226563 +177.51708984 -11.03027344 -3.95507813 +1489583519.58530000 +724
+6.30615234 -4.71093750 +1.07666016 +177.51708984 -11.00830078 -3.95507813 +1489583519.59019990 +724
+6.30615234 -4.71093750 +1.07666016 +177.51708984 -11.00830078 -3.93310547 +1489583519.59500000 +724
+6.30615234 -4.70654297 +1.08105469 +177.49511719 -11.00830078 -3.91113281 +1489583519.59990000 +724
+6.30615234 -4.70654297 +1.08105469 +177.49511719 -10.98632813 -3.91113281 +1489583519.60480000 +724
+6.30615234 -4.70214844 +1.08105469 +177.49511719 -10.98632813 -3.88916016 +1489583519.60960010 +724
+6.30615234 -4.70214844 +1.08544922 +177.49511719 -10.98632813 -3.88916016 +1489583519.61450000 +724
+6.30615234 -4.70214844 +1.08544922 +177.47314453 -10.96435547 -3.86718750 +1489583519.61929990 +724
+6.30615234 -4.69775391 +1.08544922 +177.47314453 -10.96435547 -3.86718750 +1489583519.62420010 +724
+6.30615234 -4.69775391 +1.08544922 +177.47314453 -10.96435547 -3.84521484 +1489583519.62910010 +724
